1,13000,-204,-188,12,16,15311
2,13000,-256,-204,11,52,15325
3,13000,-340,-256,10,84,15337
4,13000,-480,-340,10,140,15349
5,13000,-644,-480,10,164,15361
6,13000,-836,-644,10,192,15373
7,13000,-1060,-836,10,224,15385
8,13000,-1280,-1060,10,220,15397
9,13000,-1556,-1280,11,276,15411
10,13000,-1804,-1556,10,248,15423
11,13000,-2052,-1804,10,248,15435
12,13000,-2316,-2052,10,264,15447
13,13000,-2632,-2316,10,316,15461
14,13000,-2880,-2632,10,248,15473
15,13000,-3156,-2880,10,276,15485
16,13000,-3432,-3156,10,276,15497
17,13000,-3780,-3432,11,348,15513
18,13000,-4124,-3780,11,344,15527
19,13000,-4400,-4124,10,276,15539
20,13000,-4648,-4400,10,248,15551
21,13000,-4980,-4648,11,332,15565
22,13000,-5296,-4980,10,316,15579
23,13000,-5616,-5296,11,320,15593
24,13000,-5892,-5616,10,276,15605
25,13000,-6168,-5892,11,276,15617
26,13000,-6484,-6168,11,316,15631
27,13000,-6816,-6484,10,332,15645
28,13000,-7064,-6816,10,248,15657
29,13000,-7356,-7064,10,292,15669
30,13000,-7616,-7356,10,260,15681
31,13000,-7992,-7616,11,376,15697
32,13000,-8364,-7992,11,372,15713
33,13000,-8680,-8364,10,316,15727
34,13000,-8944,-8680,10,264,15739
35,13000,-9232,-8944,10,288,15751
36,13000,-9552,-9232,11,320,15765
37,13000,-9868,-9552,10,316,15779
38,13000,-10240,-9868,11,372,15795
39,13000,-10532,-10240,10,292,15807
40,13000,-10792,-10532,10,260,15819
41,13000,-11084,-10792,10,292,15831
42,13000,-11456,-11084,11,372,15847
43,13000,-11828,-11456,11,372,15863
44,13000,-12160,-11828,10,332,15877
45,13000,-12436,-12160,10,276,15889
46,13000,-12740,-12436,10,304,15901
47,13000,-13072,-12740,11,332,15915
48,13000,-13444,-13072,11,372,15931
49,13000,-13816,-13444,11,372,15947
50,13000,-14204,-13816,10,388,15963
51,13000,-14592,-14204,10,388,15979
52,13000,-14952,-14592,11,360,15993
53,13000,-15212,-14952,10,260,16005
54,13000,-15516,-15212,10,304,16017
55,13000,-15860,-15516,11,344,16031
56,13000,-16248,-15860,11,388,16047
57,13000,-16648,-16248,11,400,16063
58,13000,-17048,-16648,11,400,16079
59,13000,-17396,-17048,10,348,16093
60,13000,-17712,-17396,10,316,16105
61,13000,-18000,-17712,10,288,16117
62,13000,-18348,-18000,11,348,16131
63,13000,-18692,-18348,10,344,16145
64,13000,-19008,-18692,10,316,16157
65,13000,-19328,-19008,10,320,16169
66,13000,-19644,-19328,10,316,16181
67,13000,-19976,-19644,10,332,16195
68,13000,-20280,-19976,11,304,16207
69,13000,-20640,-20280,11,360,16221
70,13000,-20944,-20640,11,304,16233
71,13000,-21316,-20944,11,372,16247
72,13000,-21676,-21316,10,360,16261
73,13000,-21964,-21676,11,288,16273
74,13000,-22268,-21964,11,304,16285
75,13000,-22572,-22268,10,304,16297
76,13000,-22932,-22572,10,360,16311
77,13000,-23220,-22932,10,288,16323
78,13000,-23512,-23220,11,292,16335
79,13000,-23856,-23512,11,344,16349
80,13000,-24148,-23856,10,292,16363
81,13000,-24452,-24148,11,304,16377
82,13000,-24700,-24452,11,248,16389
83,13000,-24920,-24700,11,220,16401
84,13000,-25128,-24920,10,208,16413
85,13000,-25376,-25128,11,248,16427
86,13000,-25568,-25376,10,192,16439
87,13000,-25748,-25568,10,180,16451
88,13000,-25916,-25748,10,168,16463
89,13000,-26108,-25916,10,192,16477
90,13000,-26272,-26108,10,164,16489
91,13000,-26424,-26272,11,152,16503
92,13000,-26548,-26424,10,124,16515
93,13000,-26700,-26548,11,152,16531
94,13000,-26824,-26700,10,124,16547
95,13000,-26924,-26824,10,100,16561
96,13000,-27004,-26924,12,80,16575
97,13000,-27072,-27004,10,68,16587
98,13000,-27128,-27072,11,56,16601
99,13000,-27172,-27128,11,44,16615
100,13000,-27212,-27172,17,40,16637
